grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
1211,7615.7700,1000.0000,20518.3000,5000.0000,0.1714,21.8310
1212,6708.2000,1414.2100,19849.4000,4000.0000,0.0740,23.6348
1213,5830.9500,2236.0700,19209.4000,3000.0000,0.0663,53.1555
1214,5000.0000,2000.0000,18601.1000,2000.0000,0.0677,59.5094
1215,4242.6400,1000.0000,18027.8000,1000.0000,0.1745,39.0723
1216,3605.5500,0.0000,17464.2000,0.0000,0.2203,28.8957
1217,3162.2800,0.0000,16552.9000,0.0000,0.1675,8.5357
1218,3000.0000,1000.0000,15652.5000,0.0000,0.1662,4.3046
1219,3162.2800,1000.0000,14764.8000,0.0000,0.2711,3.4545
1220,3605.5500,0.0000,13892.4000,0.0000,0.2218,1.7570
1221,4242.6400,1000.0000,13038.4000,0.0000,0.2430,29.5637
1222,5000.0000,1414.2100,12206.6000,1000.0000,0.1819,31.1683
1223,5830.9500,1414.2100,11401.8000,2000.0000,0.1620,28.6814
1224,6708.2000,1000.0000,10630.1000,3000.0000,0.2279,48.3246
1225,7615.7700,1000.0000,9899.5000,2236.0700,0.2610,14.2797
1226,8544.0000,1000.0000,9219.5400,1414.2100,0.2707,30.1164
1227,8246.2100,0.0000,8246.2100,1000.0000,0.2729,43.5936
1228,8062.2600,0.0000,7280.1100,1414.2100,0.3376,3.8860
1229,8485.2800,2236.0700,29529.6000,3605.5500,0.0792,52.7237
1230,7810.2500,2000.0000,28653.1000,4472.1400,0.1516,28.7297
1231,7211.1000,1000.0000,27784.9000,4000.0000,0.2179,57.8504
1232,6708.2000,0.0000,26925.8000,3000.0000,0.1274,9.3891
1233,6324.5600,0.0000,26076.8000,2000.0000,0.1228,10.0777
1234,6082.7600,1000.0000,25238.9000,1000.0000,0.1266,39.2355
1235,6000.0000,1000.0000,24413.1000,0.0000,0.1069,25.4761
1236,6082.7600,0.0000,23600.8000,0.0000,0.1875,17.1284
1237,6324.5600,1000.0000,22803.5000,1000.0000,0.2056,22.8687
1238,6708.2000,1000.0000,22022.7000,2000.0000,0.2148,6.3081
1239,7211.1000,1000.0000,21260.3000,2828.4300,0.2315,6.3314
1240,7810.2500,1414.2100,20518.3000,3605.5500,0.2188,6.4999
1241,7280.1100,2000.0000,19799.0000,4472.1400,0.1857,21.7967
1242,6324.5600,2236.0700,19105.0000,4123.1100,0.0909,18.6242
1243,5385.1700,2828.4300,18439.1000,3162.2800,0.0524,18.9416
1244,4472.1400,2236.0700,17804.5000,2236.0700,0.0337,36.2692
1245,3605.5500,1414.2100,17204.7000,1414.2100,0.1473,62.5689
1246,2828.4300,1000.0000,16643.3000,1000.0000,0.2047,29.0245
1247,2236.0700,1000.0000,16124.5000,0.0000,0.1718,5.0310
1248,2000.0000,0.0000,15231.5000,0.0000,0.2623,2.1004
1249,2236.0700,1000.0000,14317.8000,0.0000,0.3082,5.9362
1250,2828.4300,0.0000,13416.4000,0.0000,0.2664,2.4112
1251,3605.5500,1000.0000,12530.0000,0.0000,0.2616,31.1247
1252,4472.1400,1414.2100,11661.9000,1000.0000,0.2241,43.8264
1253,5385.1700,1000.0000,10816.7000,2000.0000,0.2167,26.1579
1254,6324.5600,0.0000,10000.0000,2236.0700,0.1939,43.2009
1255,7280.1100,0.0000,9219.5400,2828.4300,0.2313,30.7194
1256,7615.7700,1000.0000,8485.2800,2236.0700,0.2641,40.8387
1257,7280.1100,1000.0000,7810.2500,2000.0000,0.2509,41.5332
1258,7071.0700,1000.0000,7211.1000,2236.0700,0.2699,21.0523
1259,9219.5400,1414.2100,29068.9000,3162.2800,0.0797,58.0273
1260,8602.3300,1000.0000,28178.0000,4123.1100,0.1367,27.7523
1261,8062.2600,1414.2100,27294.7000,4123.1100,0.1592,71.3288
1262,7615.7700,1000.0000,26419.7000,3162.2800,0.1310,35.2152
1263,7280.1100,1000.0000,25553.9000,2236.0700,0.0897,14.6252
1264,7071.0700,1000.0000,24698.2000,1414.2100,0.1233,23.5560
1265,7000.0000,0.0000,23853.7000,1000.0000,0.0989,7.0558
1266,7071.0700,1000.0000,23021.7000,0.0000,0.1366,16.1942
1267,7280.1100,1000.0000,22203.6000,1000.0000,0.1641,10.8230
1268,7615.7700,1414.2100,21400.9000,1414.2100,0.1773,6.7612
1269,8062.2600,1000.0000,20615.5000,2236.0700,0.1649,7.3816
1270,8062.2600,1414.2100,19849.4000,3162.2800,0.1830,6.2544
1271,7071.0700,2236.0700,19105.0000,4123.1100,0.1751,12.6142
1272,6082.7600,3162.2800,18384.8000,4472.1400,0.0874,22.0562
1273,5099.0200,3605.5500,17691.8000,3605.5500,0.0551,28.1719
1274,4123.1100,2828.4300,17029.4000,2828.4300,0.0485,31.0186
1275,3162.2800,2000.0000,16401.2000,2236.0700,0.1668,45.3478
1276,2236.0700,1000.0000,15811.4000,1414.2100,0.2375,56.6399
1277,1414.2100,0.0000,15264.3000,1000.0000,0.2547,31.8890
1278,1000.0000,1000.0000,14764.8000,0.0000,0.2452,2.3334
1279,1414.2100,1000.0000,13928.4000,0.0000,0.3060,1.8504
1280,2236.0700,1000.0000,13000.0000,0.0000,0.2731,2.5861
1281,3162.2800,0.0000,12083.0000,0.0000,0.2058,2.6004
1282,4123.1100,1000.0000,11180.3000,1000.0000,0.2571,7.6075
1283,5099.0200,0.0000,10295.6000,1000.0000,0.2605,37.9442
1284,6082.7600,1000.0000,9433.9800,1414.2100,0.2223,13.3877
1285,7071.0700,1000.0000,8602.3300,2236.0700,0.2258,21.1770
1286,6708.2000,1000.0000,7810.2500,3162.2800,0.2494,75.1938
1287,6324.5600,0.0000,7071.0700,3000.0000,0.2514,75.4413
1288,6082.7600,0.0000,6403.1200,3162.2800,0.2370,10.5603
1289,9433.9800,0.0000,27730.8000,4000.0000,0.0718,43.9213
1290,8944.2700,1000.0000,26832.8000,4472.1400,0.1494,24.7010
1291,8544.0000,2000.0000,25942.2000,3605.5500,0.1603,60.6425
1292,8246.2100,2000.0000,25059.9000,2828.4300,0.1219,10.5863
1293,8062.2600,1414.2100,24186.8000,2000.0000,0.1135,15.7992
1294,8000.0000,1000.0000,23323.8000,1000.0000,0.0992,4.6587
1295,8062.2600,1000.0000,22472.2000,0.0000,0.1073,7.3391
1296,8246.2100,0.0000,21633.3000,0.0000,0.1263,6.6506
1297,8544.0000,1000.0000,20808.7000,1000.0000,0.1891,7.7480
1298,8944.2700,0.0000,20000.0000,2000.0000,0.1488,6.4029
1299,8000.0000,1000.0000,19209.4000,2828.4300,0.1796,5.3011
1300,7000.0000,2000.0000,18439.1000,3605.5500,0.1281,8.3291
1301,6000.0000,3000.0000,17691.8000,4472.1400,0.0919,13.9842
1302,5000.0000,4000.0000,16970.6000,3605.5500,0.0743,17.8684
1303,4000.0000,3162.2800,16278.8000,2828.4300,0.0507,25.5632
1304,3000.0000,2236.0700,15620.5000,2236.0700,0.1066,22.7931
1305,2000.0000,1414.2100,15000.0000,1414.2100,0.2047,22.8331
1306,1000.0000,1000.0000,14422.2000,1000.0000,0.2151,31.1104
1307,0.0000,1000.0000,13892.4000,0.0000,0.2076,32.9623
1308,1000.0000,0.0000,13416.4000,0.0000,0.2969,1.2403
1309,2000.0000,1000.0000,12649.1000,0.0000,0.2653,1.9570
1310,3000.0000,0.0000,11704.7000,0.0000,0.2259,2.4917
1311,4000.0000,1000.0000,10770.3000,0.0000,0.2249,3.1672
1312,5000.0000,1000.0000,9848.8600,0.0000,0.2503,21.8865
1313,6000.0000,1414.2100,8944.2700,1000.0000,0.2598,25.6932
1314,6403.1200,2000.0000,8062.2600,2000.0000,0.2340,34.1948
1315,5830.9500,1414.2100,7211.1000,2236.0700,0.2570,22.1144
1316,5385.1700,1000.0000,6403.1200,2000.0000,0.2464,33.4765
1317,5099.0200,1000.0000,5656.8500,2236.0700,0.2607,40.9507
1318,10295.6000,1000.0000,27313.0000,4123.1100,0.0673,44.6704
1319,9848.8600,1414.2100,26400.8000,5000.0000,0.1272,18.3806
1320,9486.8300,1414.2100,25495.1000,4000.0000,0.1539,38.9188
1321,9219.5400,1000.0000,24596.7000,3000.0000,0.1628,23.4407
1322,9055.3800,1414.2100,23706.5000,2000.0000,0.1379,16.4220
1323,9000.0000,2000.0000,22825.4000,1000.0000,0.1249,4.3763
1324,9055.3800,1000.0000,21954.5000,0.0000,0.1234,9.1660
1325,9219.5400,0.0000,21095.0000,0.0000,0.1080,5.1054
1326,9486.8300,1000.0000,20248.5000,1000.0000,0.1365,9.0915
1327,9055.3800,0.0000,19416.5000,1414.2100,0.1208,4.5898
1328,8062.2600,1000.0000,18601.1000,2236.0700,0.2010,7.6488
1329,7071.0700,2000.0000,17804.5000,3162.2800,0.1384,5.4378
1330,6082.7600,2828.4300,17029.4000,4123.1100,0.1391,12.1718
1331,5099.0200,3162.2800,16278.8000,3162.2800,0.0578,25.1309
1332,4123.1100,3605.5500,15556.3000,2236.0700,0.0607,32.6816
1333,3162.2800,2828.4300,14866.1000,1414.2100,0.0704,23.2396
1334,2236.0700,2236.0700,14212.7000,1000.0000,0.1559,29.9384
1335,1414.2100,2000.0000,13601.5000,0.0000,0.1840,25.4936
1336,1000.0000,1414.2100,13038.4000,0.0000,0.1959,24.4886
1337,1414.2100,1000.0000,12530.0000,0.0000,0.2516,10.9333
1338,2236.0700,1000.0000,12083.0000,0.0000,0.2565,2.5325
1339,3162.2800,1000.0000,11401.8000,0.0000,0.2339,2.8545
1340,4123.1100,0.0000,10440.3000,0.0000,0.2274,1.8352
1341,5099.0200,0.0000,9486.8300,0.0000,0.2443,9.6846
1342,6082.7600,1000.0000,8544.0000,1000.0000,0.2757,25.0018
1343,5656.8500,1000.0000,7615.7700,1000.0000,0.2590,21.3157
1344,5000.0000,1000.0000,6708.2000,1414.2100,0.2607,36.1078
1345,4472.1400,1000.0000,5830.9500,1000.0000,0.2722,24.5985
1346,4123.1100,0.0000,5000.0000,1414.2100,0.2242,5.7263
1347,11180.3000,2000.0000,26925.8000,4472.1400,0.0579,29.8807
1348,10770.3000,2000.0000,26000.0000,5099.0200,0.1396,35.7283
1349,10440.3000,1000.0000,25079.9000,4123.1100,0.1362,28.0378
1350,10198.0000,0.0000,24166.1000,3162.2800,0.1491,33.5125
1351,10049.9000,1000.0000,23259.4000,2236.0700,0.1526,13.8456
1352,10000.0000,2000.0000,22360.7000,1414.2100,0.1047,3.0301
