grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
258,5000,2000,26305.9,4123.11,0.2345,32.4757
259,5099.02,1000,25318,4472.14,0.2177,29.1073
260,5385.17,0,24331.1,5000,0.1543,4.4858
261,5830.95,1000,23345.2,5656.85,0.1758,11.1543
262,6403.12,1414.21,22360.7,6403.12,0.2664,51.6247
263,7071.07,1414.21,21377.6,7071.07,0.1617,9.0361
264,7810.25,1000,20396.1,6082.76,0.1431,17.7413
265,8602.33,1414.21,19416.5,5099.02,0.1339,20.0946
266,8602.33,2236.07,18439.1,4123.11,0.1688,55.7123
267,7810.25,2236.07,17464.2,3162.28,0.1615,53.9608
268,7071.07,1414.21,16492.4,2236.07,0.2423,105.464
269,6403.12,1000,15524.2,1414.21,0.1893,82.1668
270,5830.95,1414.21,14560.2,1000,0.1507,15.4159
271,5385.17,1414.21,13601.5,0,0.2184,15.5924
272,5099.02,1000,12649.1,1000,0.1638,2.1464
273,5000,1000,11704.7,1414.21,0.1527,18.2149
274,5099.02,1414.21,10770.3,2236.07,0.1767,45.6626
275,5385.17,2236.07,9848.86,3162.28,0.2421,32.638
276,5830.95,2000,8944.27,4123.11,0.3181,40.1022
277,6403.12,1000,8062.26,5000,0.1647,47.9726
278,5830.95,0,7211.1,4242.64,0.1403,62.8235
279,5000,1000,6403.12,3605.55,0.1071,44.0492
280,4242.64,2000,5656.85,3162.28,0.0972,89.6403
281,3605.55,3000,5000,2828.43,0.1417,111.121
282,3162.28,4000,4472.14,2236.07,0.159,38.3213
283,3000,5000,4123.11,2000,0.1635,25.0847
284,3162.28,6000,4000,1414.21,0.1752,55.1032
285,3605.55,7000,4123.11,1000,0.1491,49.8058
286,4242.64,8000,4472.14,1000,0.0975,28.715
287,5000,9000,5000,1414.21,0.1497,36.1954
288,7810.25,3605.55,31144.8,3000,0.2529,25.9384
289,7211.1,2828.43,30149.6,3000,0.1992,30.1989
290,6708.2,2236.07,29154.8,3162.28,0.2037,35.0336
291,6324.56,2000,28160.3,3605.55,0.1973,29.441
