"Species","Species_Code","Rank","Type","Covariates","Parameter","Group_Size_Class","Distance_Bin","Mean","SD","MCSE","Median","HPD_95_Lower","HPD_95_Upper"
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[4, 4]","Group Size Class 4","Distance Bin 4",0.0069168151458873,0.00255030295035949,6.14183092649294e-05,0.00660931035428882,0.0023748294555064,0.0118220743875159
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[5, 4]","Group Size Class 5","Distance Bin 4",0.00390954343351337,0.0018399000641569,3.83449401075468e-05,0.00356810821252403,0.00103516867355341,0.00767183192274915
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[1, 5]","Group Size Class 1","Distance Bin 5",0.0110087805283983,0.00642560773899761,0.000175027077435109,0.00971463322131027,0.00170047283151096,0.0235393886732106
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[2, 5]","Group Size Class 2","Distance Bin 5",0.0114187743131114,0.00617721195241125,0.000173749254346932,0.0101934098374087,0.00224630924232608,0.0237482699948492
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[3, 5]","Group Size Class 3","Distance Bin 5",0.00786558690972286,0.00422781094166119,0.000116986872360173,0.00699336538637765,0.00130830744084309,0.0159083710642362
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[4, 5]","Group Size Class 4","Distance Bin 5",0.00403972045383638,0.00227025188497999,5.97720097192723e-05,0.00358082299736657,0.000647547266923471,0.00849654361608427
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","pi[5, 5]","Group Size Class 5","Distance Bin 5",0.00241819317900658,0.00153359444236197,3.57231271969787e-05,0.00207397545535768,0.000307143547979332,0.00549049043983481
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma[1]","Group Size Class 1","-",45.9040290619774,7.67647324266193,0.215158435325362,44.7708751576669,33.2586826026201,60.1169911312357
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma[2]","Group Size Class 2","-",48.1750866822506,8.48566725039408,0.240051524197385,46.791279520522,35.1364818882188,64.5008263735323
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma[3]","Group Size Class 3","-",50.6626835957215,10.0626543622917,0.28741445578198,48.7289328817877,35.2812032244501,69.1205839037014
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma[4]","Group Size Class 4","-",53.3980258528807,12.5173759184109,0.360872589466175,50.7439810963519,35.4100559189992,75.5698310694934
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma[5]","Group Size Class 5","-",57.5445865921403,17.3686528785417,0.47597227619696,53.4218145615904,35.7163710769593,87.5465555499409
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB","sigma0","-","-",3.81416228421601,0.153835633012244,0.0042763589659066,3.80155781992125,3.53946717097617,4.11912687954717
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[1]","Group Size Class 1","-",0.356467173319461,0.0470754782818348,0.000968361612788822,0.355888249402092,0.263777515781322,0.445634151386202
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[2]","Group Size Class 2","-",0.31800979723821,0.00710090497520424,0.000145987157994168,0.320604298978123,0.303710435091378,0.323823030698489
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[3]","Group Size Class 3","-",0.191621451625743,0.018173527790083,0.0003723191534239,0.192758181124773,0.157376457171539,0.225999080984336
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[4]","Group Size Class 4","-",0.0877268367342366,0.0181810071897038,0.000374936436981598,0.0868716436982289,0.0548832826777213,0.124823946442607
