grid_id,dist_ranger,dist_salt,dist_vill,dist_str,slope_var,ndvi_cv
2238,5830.95,1414.21,7211.1,2236.07,22.114,0.163
2239,5385.17,1000,6403.12,2000,33.477,0.158
2240,5099.02,1000,5656.85,2236.07,40.951,0.164
2241,11180.3,3605.55,34785.1,1414.21,26.455,0.034
2242,11045.4,3162.28,33837.8,1000,37.969,0.034
2243,11000,2236.07,32893.8,1414.21,48.533,0.03
2244,11045.4,1414.21,31953.1,1414.21,40.477,0.033
2245,11180.3,1000,31016.1,1000,36.217,0.051
2246,11401.8,1414.21,30083.2,1414.21,42.051,0.072
2247,11401.8,2236.07,29154.8,2236.07,36.997,0.045
2248,10816.7,1414.21,28231.2,3162.28,38.259,0.049
2249,10295.6,1000,27313,4123.11,44.67,0.07
2250,9848.86,1414.21,26400.8,5000,18.381,0.102
2251,9486.83,1414.21,25495.1,4000,38.919,0.123
2252,9219.54,1000,24596.7,3000,23.441,0.129
2253,9055.38,1414.21,23706.5,2000,16.422,0.122
2254,9000,2000,22825.4,1000,4.376,0.113
2255,9055.38,1000,21954.5,0,9.166,0.116
2256,9219.54,0,21095,0,5.105,0.089
2257,9486.83,1000,20248.5,1000,9.091,0.12
2258,9055.38,0,19416.5,1414.21,4.59,0.099
2259,8062.26,1000,18601.1,2236.07,7.649,0.127
2260,7071.07,2000,17804.5,3162.28,5.438,0.107
2261,6082.76,2828.43,17029.4,4123.11,12.172,0.095
2262,5099.02,3162.28,16278.8,3162.28,25.131,0.033
2263,4123.11,3605.55,15556.3,2236.07,32.682,0.047
2264,3162.28,2828.43,14866.1,1414.21,23.24,0.081
2265,2236.07,2236.07,14212.7,1000,29.938,0.116
2266,1414.21,2000,13601.5,0,25.494,0.126
2267,1000,1414.21,13038.4,0,24.489,0.118
2268,1414.21,1000,12530,0,10.933,0.151
2269,2236.07,1000,12083,0,2.533,0.162
2270,3162.28,1000,11401.8,0,2.855,0.146
2271,4123.11,0,10440.3,0,1.835,0.162
2272,5099.02,0,9486.83,0,9.685,0.164
2273,6082.76,1000,8544,1000,25.002,0.18
2274,5656.85,1000,7615.77,1000,21.316,0.169
2275,5000,1000,6708.2,1414.21,36.108,0.164
2276,4472.14,1000,5830.95,1000,24.599,0.169
2277,4123.11,0,5000,1414.21,5.726,0.167
2278,12165.5,4472.14,34481.9,1000,31.372,0.049
2279,12041.6,3605.55,33526.1,0,43.709,0.043
2280,12000,2828.43,32573,1000,30.632,0.022
2281,12041.6,2236.07,31622.8,2000,30.468,0.037
2282,12165.5,2000,30675.7,2000,33.91,0.051
2283,12369.3,2236.07,29732.1,2236.07,34.298,0.054
2284,12206.6,2828.43,28792.4,2828.43,33.144,0.048
2285,11661.9,2236.07,27856.8,3605.55,37.902,0.047
2286,11180.3,2000,26925.8,4472.14,29.881,0.05
2287,10770.3,2000,26000,5099.02,35.728,0.1
2288,10440.3,1000,25079.9,4123.11,28.038,0.117
